Region,State,Plant,ORSPL,Unit,Full Name,County,ORSPL|Unit|Region,Generation,Heat Input,PM2.5,VOCs,NH3
Midwest,IA,Lime Creek,7155,**1,Lime Creek **1,Cerro Gordo County,7155|**1|Midwest,1616.88,23102.635,0.009180723,0.000339806,0.027503907
Midwest,IA,Lime Creek,7155,**2,Lime Creek **2,Cerro Gordo County,7155|**2|Midwest,782.17,10645.182,0.009238248,0.000341934,0.027503907
Midwest,IA,George Neal South,7343,4,George Neal South 4,Woodbury County,7343|4|Midwest,1622945.12,14895001.36,0.01500386,0.003617982,0.000142969
Midwest,IA,Greater Des Moines Energy Center,7985,1,Greater Des Moines Energy Center 1,Polk County,7985|1|Midwest,450016.97,5026610.41,0.009891363,0.000867503,7.57E-09
Midwest,IA,Greater Des Moines Energy Center,7985,2,Greater Des Moines Energy Center 2,Polk County,7985|2|Midwest,451816.91,5027070.061,0.010017253,0.000878544,9.13E-09
Midwest,IA,Sycamore Combustion Turbine,8029,1,Sycamore Combustion Turbine 1,Polk County,8029|1|Midwest,5235.45,98561.786,0.005745031,0.001827963,0.006576566
Midwest,IA,Sycamore Combustion Turbine,8029,2,Sycamore Combustion Turbine 2,Polk County,8029|2|Midwest,4215.11,85941.912,0.007573855,0.002409867,0.006576566
Midwest,IA,Emery Station,8031,11,Emery Station 11,Cerro Gordo County,8031|11|Midwest,1036869.4,7739864.861,0.004800009,0,0.001492114
Midwest,IA,Emery Station,8031,12,Emery Station 12,Cerro Gordo County,8031|12|Midwest,984121.51,7357246.191,0.005400007,0,0.001592544
Midwest,IA,Exira Station,56013,U-1,Exira Station U-1,Audubon County,56013|U-1|Midwest,43520.79,449173.564,0.006849784,0.00208495,0.006576566
Midwest,IA,Exira Station,56013,U-2,Exira Station U-2,Audubon County,56013|U-2|Midwest,41880.76,434559.267,0.006816059,0.002085537,0.006576566
Midwest,IA,Exira Station,56013,U-3,Exira Station U-3,Audubon County,56013|U-3|Midwest,41106.33,427246.227,0.006835011,0.002089418,0.006576566
Midwest,IA,Marshalltown Generating Station,58236,CT1,Marshalltown Generating Station CT1,Marshall County,58236|CT1|Midwest,993900.8,7199491.727,0.002794869,0.000279487,0.00232906
Midwest,IA,Marshalltown Generating Station,58236,CT2,Marshalltown Generating Station CT2,Marshall County,58236|CT2|Midwest,979699.66,7092076.624,0.00186173,9.31E-05,0.001396292
Midwest,IL,E D Edwards,856,2,E D Edwards 2,Peoria County,856|2|Midwest,1434888.36,14344891.2,0.001588163,0.003473239,0.001283431
Midwest,IL,E D Edwards,856,3,E D Edwards 3,Peoria County,856|3|Midwest,1493272.03,13552493.39,0.001695343,0.003705627,0.001283431
Midwest,IL,Coffeen,861,1,Coffeen 01,Montgomery County,861|01|Midwest,0,0,0.002611441,0.007210522,0.000765329
Midwest,IL,Coffeen,861,2,Coffeen 02,Montgomery County,861|02|Midwest,0,0,0.001342522,0.006335001,0.000765329
Midwest,IL,"Grand Tower Energy Center, LLC",862,CT01,"Grand Tower Energy Center, LLC CT01",Jackson County,862|CT01|Midwest,0,0,0.005142118,0.006065208,0.003800189
Midwest,IL,"Grand Tower Energy Center, LLC",862,CT02,"Grand Tower Energy Center, LLC CT02",Jackson County,862|CT02|Midwest,0,0,0.00505739,0.006047347,0.003800189
Midwest,IL,Joppa Steam,887,1,Joppa Steam 1,Massac County,887|1|Midwest,933664.39,9215272.69,0,0,0
Midwest,IL,Joppa Steam,887,2,Joppa Steam 2,Massac County,887|2|Midwest,920507.88,8986733.467,0,0,0
Midwest,IL,Joppa Steam,887,3,Joppa Steam 3,Massac County,887|3|Midwest,898390.35,9024677.451,0,0,0
Midwest,IL,Joppa Steam,887,4,Joppa Steam 4,Massac County,887|4|Midwest,966115.39,9577328.35,0,0,0
Midwest,IL,Joppa Steam,887,5,Joppa Steam 5,Massac County,887|5|Midwest,906939.89,9676582.856,0,0,0
Midwest,IL,Joppa Steam,887,6,Joppa Steam 6,Massac County,887|6|Midwest,916212.55,9716385.226,0,0,0
Midwest,IL,Baldwin Energy Complex,889,1,Baldwin Energy Complex 1,Randolph County,889|1|Midwest,3824433.02,35388593.68,0,0,0
Midwest,IL,Baldwin Energy Complex,889,2,Baldwin Energy Complex 2,Randolph County,889|2|Midwest,3741919.88,35639299.03,0,0,0
Midwest,IL,Baldwin Energy Complex,889,3,Baldwin Energy Complex 3,Randolph County,889|3|Midwest,0,0,0,0,0
